id;calories;proteins;fat;carbohydrate;name;composition;origin;food_category;is_national;region;
29;590;18,5;57;0;Empal Goreng;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
30;345;12;1,5;71,5;Emping (kerupuk melinjo);sayuran;Jawa Barat;snack;;Jawa Barat;
31;403;10,6;2,2;85,3;Emping beras;sayuran;DI Yogyakarta;snack;;DI Yogyakarta;
32;355;17,8;4,6;60,7;Emping komak;sayuran;Jawa Timur;snack;;Jawa Timur;
33;524;13,3;29,2;52;Enting-enting gepuk kacang tanah;Kacang;Jawa Tengah;snack;;Jawa Tengah;
34;565;18,2;38,4;36,8;Enting-enting wijen;wijen;Jawa Tengah;snack;;Jawa Tengah;
35;152;0;0;37,6;Es Mambo ;sayuran;DKI Jakarta;snack;;DKI Jakarta;
36;44,8;0;0;11,3;Es Sirup ;sayuran;DKI Jakarta;snack;;DKI Jakarta;
37;137;6,1;3,2;21;Gado-gado;sayuran;DKI Jakarta;main_meal;1;Nasional;
38;347;1,3;0,7;83,8;Gatot;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
39;195;0,4;1,7;44,4;Geblek;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
40;274;1,7;5,4;55,5;Gemblong;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
41;407;6,4;28,2;32;Gendar goreng;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
42;350;1,4;14,4;53,6;Geplak;sayuran;DI Yogyakarta;main_meal;;DI Yogyakarta;
43;462;3,1;24,4;57,7;Geplak jahe;sayuran;DI Yogyakarta;main_meal;;DI Yogyakarta;
44;360;1,3;6,4;74,3;Getuk goreng;sayuran;Jawa Tengah;snack;;Jawa Tengah;
45;171,4;4;4;32;Getuk Lindri ;sayuran;Jawa Tengah;snack;;Jawa Tengah;
46;144;1,1;0,4;34,1;Getuk pisang;sayuran;Jawa Tengah;snack;;Jawa Tengah;
47;204;0,5;1,4;47,4;Getuk singkong;sayuran;Jawa Tengah;snack;;Jawa Tengah;
48;53;1,6;1,6;8,8;Gudeg ;sayuran;DI Yogyakarta;main_meal;;DI Yogyakarta;
49;160;3,3;9,2;16;Gudeg sayur;sayuran;DI Yogyakarta;main_meal;;DI Yogyakarta;
50;192;12,7;10,1;12,7;Gurame asem manis masakan;ikan ;Jawa Barat;main_meal;1;Nasional;
51;296;17,1;20,3;11,3;Ikan bandeng presto masakan;ikan;Jawa Timur;main_meal;1;Jawa Timur;
52;188;19,3;12,2;0;Ikan Mas goreng;ikan ;Jawa Barat;main_meal;;Jawa Barat;
53;209;15,2;11,3;11,8;Ikan Mas pepes;ikan;Jawa Barat;main_meal;;Jawa Barat;
54;121;21,7;2,8;0,8;Ikan Mujair pepes;ikan;Jawa Barat;main_meal;1;Nasional;
55;381,7;9,5;9,5;65,8;Jenang ;sayuran;Jawa Tengah;snack;;Jawa Tengah;
56;192;5,4;0,3;40,7;Jengkol segar;sayuran;Jawa Barat;vegetable;1;Nasional;
57;44;0,8;0,3;10,9;Jeruk Garut;sayuran;Jawa Barat;fruit;1;Nasional;
58;533;27,8;38,1;28,8;Kacang atom;kacang;Jawa Timur;snack;1;Nasional;
59;479;12,7;23,2;58,9;Kacang Bogor goreng;sayuran;Jawa Timur;snack;;Jawa Timur;
60;370;16;6;65;Kacang bogor kering;sayuran;Jawa Timur;snack;;Jawa Timur;
61;161;7,7;2,8;27,1;Kacang Bogor rebus;sayuran;Jawa Timur;snack;;Jawa Timur;
62;165;7,7;3,1;27,4;Kacang bogor segar;sayuran;Jawa Timur;snack;;Jawa Timur;
63;484;8,8;26,1;57,7;Kacang sukro;kacang;Jawa Timur;snack;1;Nasional;
64;488;25,6;25,6;59,6;Kacang Sukro Putih ;kacang;Jawa Timur;snack;1;Nasional;
65;513;17,5;32,5;44,3;Kacang Tanah rempeyek;kacang;Jawa Barat;snack;;Jawa Barat;
66;748;20,8;20,8;124,8;Kacang Telur ;telur ;Jawa Timur;snack;1;Nasional;
67;451;11,2;20,2;59,7;Kacang Tunggak rempeyek;sayuran;Jawa Barat;snack;;Jawa Barat;
68;146,7;5,9;5,9;19,7;Karedok ;sayuran;Jawa Barat;vegetable;;Jawa Barat;
69;92;2,2;3,3;14,1;Karedok sayur;sayuran;Jawa Barat;vegetable;;Jawa Barat;
70;464;1,2;18,6;73;Kecimpring singkong goreng;sayuran;Jawa Barat;snack;;Jawa Barat;
71;34;0,9;1;6,7;Kecombrang segar;sayuran;Jawa Barat;vegetable;;Jawa Barat;
72;214;5,4;5,4;40,2;Kelepon ;sayuran;DI Yogyakarta;snack;1;Nasional;
73;586;4,9;40,6;50,2;Keripik bayam;sayuran;Jawa Barat;snack;1;Nasional;
74;446;2,8;14,5;76;Keripik gadung;sayuran;Jawa Timur;snack;;Jawa Timur;
75;598;8,3;43,8;42,6;Keripik oncom;sayuran;Jawa Barat;snack;;Jawa Barat;
76;478;0,9;20,7;72;Keripik singkong;sayuran;Jawa Barat;snack;1;Nasional;
77;481;2,2;19,7;73,6;Keripik singkong berbumbu;sayuran;Jawa Barat;snack;1;Nasional;
